scale,posX,posY,posZ,pecVX,pecVY,pecVZ,mvir,m200c_all,rvir,rs,vmax,pid,upid,desc_id,mmp,dfid,id,num_prog,lastprog_dfid,sam_mvir
0.5932000279426575,73.16122678899673,79.87098995112676,78.55021568119854,-87.7300033569336,320.760009765625,93.93000030517578,63760987322.306656,65023093643.27224,121.25614662494412,11.902845948557085,75.72000122070312,-1,-1,855201,1,177860,850317,1,181649,63746088892.862465
0.5892999768257141,73.17124242985804,79.83601478755145,78.53994993352798,-88.44000244140625,320.3500061035156,94.66999816894531,63611978614.21546,64440468007.74847,121.28744408157432,12.101028594720596,75.55000305175781,-1,-1,850317,1,177861,845444,1,181649,63592160834.4509
0.5855000019073486,73.1809283844708,79.80047688365534,78.52918965648458,-88.31999969482422,319.9599914550781,97.05000305175781,63403370084.93518,63997915684.69676,121.27849707889798,12.331992285632817,75.44999694824219,-1,-1,845444,1,177862,840553,1,181649,63423187864.699745
0.58160001039505,73.19047791718761,79.76510382288349,78.51827022056256,-88.44000244140625,318.3999938964844,98.30999755859375,63254361376.84399,63716285930.56176,121.30531534994435,12.437788887006873,75.3499984741211,-1,-1,840553,1,177863,835634,2,181649,63274179156.60855
0.5777999758720398,73.20049355804893,79.72974213060297,78.50698699291799,-89.5,317.7900085449219,99.63999938964844,63164952489.94189,63600058649.977646,121.36343107762093,12.33497225142257,75.36000061035156,-1,-1,835634,1,177864,830694,2,181528,63060645173.59559
0.5740000009536743,73.2109355173351,79.69439749105945,78.49556165913181,-90.13999938964844,316.7200012207031,100.30000305175781,62762627757.4132,63164952489.94189,121.22783908153357,12.290269922453428,75.62000274658203,-1,-1,830694,1,177865,825787,1,181419,62876920256.29563
0.5701000094413757,73.22132063416464,79.65878569196968,78.48456264377049,-89.95999908447266,317.3299865722656,100.58000183105469,62703027936.224106,63100878867.530914,121.29935826048768,12.521233613365649,75.95999908447266,-1,-1,825787,1,177866,820851,1,181419,62638502661.30234
0.5662999749183655,73.23138174899127,79.62255999434812,78.47312025724732,-89.56999969482422,316.3900146484375,102.06999969482422,62449711911.78661,62813292182.98316,121.25465735257994,12.434808921217119,75.87999725341797,-1,-1,820851,1,177867,815882,1,181419,62524216265.832214
0.5625,73.24161907543352,79.58575450366877,78.46089912906807,-89.86000061035156,315.6499938964844,103.30000305175781,62419908949.485916,62720904830.87468,121.35747398816424,12.582327885770562,75.91000366210938,-1,-1,815882,1,177868,810898,1,181419,62365222375.20489
0.5586000084877014,73.25198713952605,79.54921617253564,78.44847336804489,-89.58000183105469,317.1300048828125,104.08999633789062,62226192746.23752,62579348389.21174,121.34256989603124,12.673223237134433,75.61000061035156,-1,-1,810898,1,177869,805877,2,181419,62211294316.79332
0.5547999739646912,73.26229836116194,79.51253005101523,78.43651939941188,-89.9800033569336,315.489990234375,104.43000030517578,61987781254.65653,62348383060.6467,121.30382607758018,12.78795973587775,75.33000183105469,-1,-1,805877,1,177870,800849,1,181380,62087169220.68246
0.5508999824523926,73.27271758346546,79.47605424658443,78.4239003740361,-88.4000015258789,314.55999755859375,103.58000183105469,62047387179.257935,62394573684.99478,121.46177989611272,13.11280016500501,75.41000366210938,-1,-1,800849,1,177871,795790,2,181380,61938160512.59126
